# Force βfλ, Rxy^2
9.5938e-01,    4.9019e-01
9.6826e-01,    4.8821e-01
9.7722e-01,    4.8621e-01
9.8627e-01,    4.8421e-01
9.9540e-01,    4.8220e-01
1.0046e+00,    4.8018e-01
1.0139e+00,    4.7814e-01
1.0233e+00,    4.7611e-01
1.0328e+00,    4.7406e-01
1.0423e+00,    4.7200e-01
1.0520e+00,    4.6994e-01
1.0617e+00,    4.6787e-01
1.0716e+00,    4.6579e-01
1.0815e+00,    4.6370e-01
1.0915e+00,    4.6161e-01
1.1016e+00,    4.5951e-01
1.1118e+00,    4.5740e-01
1.1221e+00,    4.5529e-01
1.1325e+00,    4.5317e-01
1.1430e+00,    4.5105e-01
1.1536e+00,    4.4892e-01
1.1642e+00,    4.4678e-01
1.1750e+00,    4.4464e-01
1.1859e+00,    4.4249e-01
1.1969e+00,    4.4034e-01
1.2080e+00,    4.3819e-01
1.2191e+00,    4.3603e-01
1.2304e+00,    4.3387e-01
1.2418e+00,    4.3170e-01
1.2533e+00,    4.2953e-01
1.2649e+00,    4.2735e-01
1.2766e+00,    4.2518e-01
1.2885e+00,    4.2300e-01
1.3004e+00,    4.2081e-01
1.3124e+00,    4.1863e-01
1.3246e+00,    4.1644e-01
1.3368e+00,    4.1425e-01
1.3492e+00,    4.1206e-01
1.3617e+00,    4.0987e-01
1.3743e+00,    4.0768e-01
1.3870e+00,    4.0548e-01
1.3999e+00,    4.0329e-01
1.4128e+00,    4.0109e-01
1.4259e+00,    3.9889e-01
1.4391e+00,    3.9670e-01
1.4525e+00,    3.9450e-01
1.4659e+00,    3.9231e-01
1.4795e+00,    3.9011e-01
1.4932e+00,    3.8792e-01
1.5070e+00,    3.8572e-01
1.5209e+00,    3.8353e-01
1.5350e+00,    3.8134e-01
1.5492e+00,    3.7915e-01
1.5636e+00,    3.7696e-01
1.5781e+00,    3.7478e-01
1.5927e+00,    3.7259e-01
1.6074e+00,    3.7041e-01
1.6223e+00,    3.6823e-01
1.6373e+00,    3.6606e-01
1.6525e+00,    3.6388e-01
1.6678e+00,    3.6172e-01
1.6832e+00,    3.5955e-01
1.6988e+00,    3.5739e-01
1.7145e+00,    3.5523e-01
1.7304e+00,    3.5307e-01
